key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,respT_rt,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del
space,10.018,space,13.476,space,20.983,space,4.15,left,4.518,space,0.877,left,0.0,6.079,0.0,0.0,0.0,1.0,1.0,25000.0,35000.0,150.0,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,6.817,0.0,1.0,1.0,2.0,1.0,10000.0,19000.0,89.0,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1.0,3.72,0.0,2.0,2.0,0.0,1.0,10000.0,109000.0,9.0,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,g,82.323,right,1.0,3.97,0.0,0.0,0.0,28.0,1.0,10000.0,0.0,109000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,2.642,0.0,1.0,1.0,25.0,1.0,10000.0,0.0,10000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,4.649,0.0,2.0,2.0,27.0,1.0,10000.0,0.0,61000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,2.811,0.0,3.0,3.0,64.0,1.0,25000.0,0.0,150000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,2.188,0.0,4.0,4.0,33.0,1.0,5000.0,0.0,104000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.936,0.0,5.0,5.0,47.0,1.0,5000.0,0.0,56000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,4.483,0.0,6.0,6.0,57.0,1.0,5000.0,0.0,55000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.891,0.0,7.0,7.0,49.0,1.0,5000.0,0.0,149000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.852,0.0,8.0,8.0,7.0,1.0,10000.0,0.0,59000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.126,0.0,9.0,9.0,69.0,1.0,25000.0,0.0,150000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.407,0.0,10.0,10.0,40.0,1.0,5000.0,0.0,14000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.994,0.0,11.0,11.0,16.0,1.0,10000.0,0.0,39000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,2.389,0.0,12.0,12.0,53.0,1.0,5000.0,0.0,104000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.301,0.0,13.0,13.0,82.0,1.0,25000.0,0.0,75000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.503,0.0,14.0,14.0,80.0,1.0,25000.0,0.0,35000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.868,0.0,15.0,15.0,68.0,1.0,25000.0,0.0,125000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.919,0.0,16.0,16.0,21.0,1.0,10000.0,0.0,40000.0,91.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.851,0.0,17.0,17.0,74.0,1.0,25000.0,0.0,150000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.534,0.0,18.0,18.0,46.0,1.0,5000.0,0.0,36000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.116,0.0,19.0,19.0,62.0,1.0,25000.0,0.0,75000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.718,0.0,20.0,20.0,1.0,1.0,10000.0,0.0,39000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,2.278,0.0,21.0,21.0,11.0,1.0,10000.0,0.0,39000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.042,0.0,22.0,22.0,14.0,1.0,10000.0,0.0,150000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.713,0.0,23.0,23.0,15.0,1.0,10000.0,0.0,20000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.061,0.0,24.0,24.0,9.0,1.0,10000.0,0.0,151000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.555,0.0,25.0,25.0,84.0,1.0,25000.0,0.0,150000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.125,0.0,26.0,26.0,88.0,1.0,25000.0,0.0,125000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.768,0.0,27.0,27.0,26.0,1.0,10000.0,0.0,39000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.792,0.0,28.0,28.0,50.0,1.0,5000.0,0.0,15000.0,91.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.753,0.0,29.0,29.0,45.0,1.0,5000.0,0.0,15000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.244,0.0,30.0,30.0,51.0,1.0,5000.0,0.0,35000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,2.433,0.0,31.0,31.0,5.0,1.0,10000.0,0.0,19000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.284,0.0,32.0,32.0,42.0,1.0,5000.0,0.0,56000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.625,0.0,33.0,33.0,56.0,1.0,5000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.906,0.0,34.0,34.0,13.0,1.0,10000.0,0.0,111000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.367,0.0,35.0,35.0,72.0,1.0,25000.0,0.0,75000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.544,0.0,36.0,36.0,22.0,1.0,10000.0,0.0,61000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.894,0.0,37.0,37.0,48.0,1.0,5000.0,0.0,105000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.652,0.0,38.0,38.0,55.0,1.0,5000.0,0.0,14000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.2,0.0,39.0,39.0,65.0,1.0,25000.0,0.0,35000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,2.354,0.0,40.0,40.0,59.0,1.0,5000.0,0.0,151000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.63,0.0,41.0,41.0,61.0,1.0,25000.0,0.0,55000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.885,0.0,42.0,42.0,31.0,1.0,5000.0,0.0,35000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.94,0.0,43.0,43.0,44.0,1.0,5000.0,0.0,150000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.24,0.0,44.0,44.0,12.0,1.0,10000.0,0.0,60000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.339,0.0,45.0,45.0,10.0,1.0,10000.0,0.0,21000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.878,0.0,46.0,46.0,89.0,1.0,25000.0,0.0,150000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.04,0.0,47.0,47.0,8.0,1.0,10000.0,0.0,111000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,5.627,0.0,48.0,48.0,35.0,1.0,5000.0,0.0,15000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,2.177,0.0,49.0,49.0,29.0,1.0,10000.0,0.0,151000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,2.025,0.0,50.0,50.0,75.0,1.0,25000.0,0.0,35000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.205,0.0,51.0,51.0,58.0,1.0,5000.0,0.0,106000.0,152.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.013,0.0,52.0,52.0,86.0,1.0,25000.0,0.0,55000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.769,0.0,53.0,53.0,37.0,1.0,5000.0,0.0,56000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.635,0.0,54.0,54.0,63.0,1.0,25000.0,0.0,125000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.011,0.0,55.0,55.0,2.0,1.0,10000.0,0.0,61000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.695,0.0,56.0,56.0,71.0,1.0,25000.0,0.0,55000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.891,0.0,57.0,57.0,77.0,1.0,25000.0,0.0,75000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.968,0.0,58.0,58.0,87.0,1.0,25000.0,0.0,75000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.688,0.0,59.0,59.0,52.0,1.0,5000.0,0.0,56000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.904,0.0,60.0,60.0,30.0,1.0,5000.0,0.0,16000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.837,0.0,61.0,61.0,78.0,1.0,25000.0,0.0,125000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.311,0.0,62.0,62.0,36.0,1.0,5000.0,0.0,36000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,2.259,0.0,63.0,63.0,70.0,1.0,25000.0,0.0,35000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.168,0.0,64.0,64.0,41.0,1.0,5000.0,0.0,35000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.361,0.0,65.0,65.0,85.0,1.0,25000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,2.227,0.0,66.0,66.0,39.0,1.0,5000.0,0.0,149000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.884,0.0,67.0,67.0,23.0,1.0,10000.0,0.0,110000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.66,0.0,68.0,68.0,20.0,1.0,10000.0,0.0,20000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.093,0.0,69.0,69.0,24.0,1.0,10000.0,0.0,149000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.107,0.0,70.0,70.0,66.0,1.0,25000.0,0.0,55000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,2.704,0.0,71.0,71.0,0.0,1.0,10000.0,0.0,20000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.727,0.0,72.0,72.0,4.0,1.0,10000.0,0.0,150000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.551,0.0,73.0,73.0,54.0,1.0,5000.0,0.0,150000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.408,0.0,74.0,74.0,19.0,1.0,10000.0,0.0,149000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,2.184,0.0,75.0,75.0,67.0,1.0,25000.0,0.0,75000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,6.503,0.0,76.0,76.0,60.0,1.0,25000.0,0.0,35000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,2.738,0.0,77.0,77.0,73.0,1.0,25000.0,0.0,125000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,6.25,0.0,78.0,78.0,3.0,1.0,10000.0,0.0,109000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.299,0.0,79.0,79.0,83.0,1.0,25000.0,0.0,125000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.418,0.0,80.0,80.0,76.0,1.0,25000.0,0.0,55000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,3.494,0.0,81.0,81.0,18.0,1.0,10000.0,0.0,110000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.793,0.0,82.0,82.0,81.0,1.0,25000.0,0.0,55000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.861,0.0,83.0,83.0,79.0,1.0,25000.0,0.0,150000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.968,0.0,84.0,84.0,38.0,1.0,5000.0,0.0,104000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.434,0.0,85.0,85.0,32.0,1.0,5000.0,0.0,54000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,2.41,0.0,86.0,86.0,6.0,1.0,10000.0,0.0,40000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.567,0.0,87.0,87.0,17.0,1.0,10000.0,0.0,60000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,2.238,0.0,88.0,88.0,34.0,1.0,5000.0,0.0,151000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,3.229,0.0,89.0,89.0,43.0,1.0,5000.0,0.0,106000.0,29.0
