key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,9.3374,space,19.146,space,19.7049,space,20.6556,right,6.0624,space,3.6185,,0,0,0,0,0,1,10000,109000,9,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,0,1,1,2,1,10000,19000,89,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,5.251,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,0,2,2,1,1,25000,35000,150,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,3.2843,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,g,17.4841,left,1,4.7103,0,0,0,30,1,5000,0,16000,4
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.3255,0,1,1,13,1,10000,0,111000,30
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.6347,0,2,2,32,1,5000,0,54000,5
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.3009,0,3,3,75,1,25000,0,35000,60
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.3482,0,4,4,27,1,10000,0,61000,150
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.0007,0,5,5,52,1,5000,0,56000,89
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.8277,0,6,6,53,1,5000,0,104000,90
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.1102,0,7,7,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.2047,0,8,8,47,1,5000,0,56000,60
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.8002,0,9,9,26,1,10000,0,39000,150
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.9597,0,10,10,36,1,5000,0,36000,9
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.4703,0,11,11,5,1,10000,0,19000,11
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.0785,0,12,12,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.3913,0,13,13,73,1,25000,0,125000,31
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.7697,0,14,14,6,1,10000,0,40000,10
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.0377,0,15,15,49,1,5000,0,149000,59
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.4226,0,16,16,67,1,25000,0,75000,10
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.9927,0,17,17,62,1,25000,0,75000,5
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.2197,0,18,18,15,1,10000,0,20000,59
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.3254,0,19,19,50,1,5000,0,15000,91
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.068,0,20,20,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.3396,0,21,21,45,1,5000,0,15000,61
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.8728,0,22,22,9,1,10000,0,151000,11
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.5686,0,23,23,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,0,0.8,0,24,24,40,1,5000,0,14000,31
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,0,5.2512,0,25,25,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.0562,0,26,26,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,7.5291,0,27,27,74,1,25000,0,150000,29
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.1104,0,28,28,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,7.2618,0,29,29,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.4861,0,30,30,56,1,5000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.9342,0,31,31,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.7344,0,32,32,70,1,25000,0,35000,30
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.9757,0,33,33,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.0442,0,34,34,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.0535,0,35,35,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.1509,0,36,36,41,1,5000,0,35000,31
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.5226,0,37,37,20,1,10000,0,20000,90
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.1366,0,38,38,79,1,25000,0,150000,61
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.0013,0,39,39,61,1,25000,0,55000,6
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.9203,0,40,40,89,1,25000,0,150000,150
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,5.5359,0,41,41,4,1,10000,0,150000,5
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.6927,0,42,42,12,1,10000,0,60000,29
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.2595,0,43,43,81,1,25000,0,55000,90
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.444,0,44,44,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.31,0,45,45,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.6683,0,46,46,58,1,5000,0,106000,152
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.5003,0,47,47,35,1,5000,0,15000,11
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.5947,0,48,48,38,1,5000,0,104000,10
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.8169,0,49,49,1,1,10000,0,39000,6
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.6335,0,50,50,66,1,25000,0,55000,11
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.7696,0,51,51,78,1,25000,0,125000,59
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.4052,0,52,52,2,1,10000,0,61000,4
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,0,0.8178,0,53,53,69,1,25000,0,150000,9
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.0108,0,54,54,43,1,5000,0,106000,29
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.277,0,55,55,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.5405,0,56,56,65,1,25000,0,35000,11
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.1465,0,57,57,24,1,10000,0,149000,89
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.9104,0,58,58,37,1,5000,0,56000,9
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.4171,0,59,59,0,1,10000,0,20000,5
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.9044,0,60,60,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.8331,0,61,61,21,1,10000,0,40000,91
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.6243,0,62,62,25,1,10000,0,10000,150
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.9776,0,63,63,46,1,5000,0,36000,61
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.1005,0,64,64,3,1,10000,0,109000,5
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.5342,0,65,65,63,1,25000,0,125000,4
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.0893,0,66,66,11,1,10000,0,39000,29
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.2575,0,67,67,16,1,10000,0,39000,59
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.0097,0,68,68,85,1,25000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.436,0,69,69,71,1,25000,0,55000,30
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.2533,0,70,70,68,1,25000,0,125000,9
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,9.5904,0,71,71,14,1,10000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.3179,0,72,72,80,1,25000,0,35000,90
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.0412,0,73,73,54,1,5000,0,150000,90
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.6263,0,74,74,23,1,10000,0,110000,90
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.8923,0,75,75,60,1,25000,0,35000,5
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.7807,0,76,76,72,1,25000,0,75000,31
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.7428,0,77,77,33,1,5000,0,104000,5
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.6284,0,78,78,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.6308,0,79,79,59,1,5000,0,151000,150
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.5531,0,80,80,7,1,10000,0,59000,9
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.8378,0,81,81,44,1,5000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.1033,0,82,82,17,1,10000,0,60000,60
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,7.9329,0,83,83,29,1,10000,0,151000,151
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.4549,0,84,84,22,1,10000,0,61000,89
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.8599,0,85,85,42,1,5000,0,56000,29
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.0348,0,86,86,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.4818,0,87,87,39,1,5000,0,149000,10
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.069,0,88,88,51,1,5000,0,35000,89
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.4362,0,89,89,18,1,10000,0,110000,60
